id,country_id,state_name,state_code,state_initial,active,reason
1004,143,Majuro,0,,1,NULL
1005,144,Skopje,0,,1,NULL
1006,145,Bamako,0,,1,NULL
1007,153,Inner Harbour,0,,1,NULL
1008,153,Outer Harbour,0,,1,NULL
1011,159,Mandalay,0,,1,NULL
1012,159,Mon,0,,1,NULL
1014,159,Rakhine,0,,1,NULL
1016,159,Sagaing,0,,1,NULL
1017,159,Shan,0,,1,NULL
1019,147,Ulaanbaatar,0,,1,NULL
1020,149,Saipan,0,,1,NULL
1021,159,Gaza,0,,1,NULL
1022,159,Inhambane,0,,1,NULL
1023,159,Manica,0,,1,NULL
1024,159,Maputo,0,,1,NULL
1025,159,Nampula,0,,1,NULL
1026,159,Sofala,0,,1,NULL
1027,159,Tete,0,,1,NULL
1030,151,Nouakchott,0,,1,NULL
1031,152,Plymouth,0,,1,NULL
1032,150,Fort-de-France,0,,1,NULL
1033,154,Plaines Wilhelms,0,,1,NULL
1034,154,Port-Louis,0,,1,NULL
1035,156,Blantyre,0,,1,NULL
1036,156,Lilongwe,0,,1,NULL
1037,158,Johor,0,,1,NULL
1038,158,Kedah,0,,1,NULL
1039,158,Kelantan,0,,1,NULL
1040,158,Negeri Sembilan,0,,1,NULL
1041,158,Pahang,0,,1,NULL
1042,158,Perak,0,,1,NULL
1043,158,Pulau Pinang,0,,1,NULL
1044,158,Sabah,0,,1,NULL
1045,158,Sarawak,0,,1,NULL
1046,158,Selangor,0,,1,NULL
1047,158,Terengganu,0,,1,NULL
1048,158,Wilayah Persekutuan,0,,1,NULL
1049,247,Mamoutzou,0,,1,NULL
1050,160,Khomas,0,,1,NULL
1052,162,Maradi,0,,1,NULL
1053,162,Niamey,0,,1,NULL
1054,162,Zinder,0,,1,NULL
1056,164,Anambra & Enugu & Eb,0,,1,NULL
1057,164,Bauchi & Gombe,0,,1,NULL
1058,164,Benue,0,,1,NULL
1059,164,Borno & Yobe,0,,1,NULL
1060,164,Cross River,0,,1,NULL
1061,164,Edo & Delta,0,,1,NULL
1062,164,Federal Capital Dist,0,,1,NULL
1063,164,Imo & Abia,0,,1,NULL
1064,164,Kaduna,0,,1,NULL
1065,164,Kano & Jigawa,0,,1,NULL
1066,164,Katsina,0,,1,NULL
1067,164,Kwara & Kogi,0,,1,NULL
1068,164,Lagos,0,,1,NULL
1069,164,Niger,0,,1,NULL
1070,164,Ogun,0,,1,NULL
1071,164,Ondo & Ekiti,0,,1,NULL
1072,164,Oyo & Osun,0,,1,NULL
1073,164,Plateau & Nassarawa,0,,1,NULL
1074,164,Rivers & Bayelsa,0,,1,NULL
1075,164,Sokoto & Kebbi & Zam,0,,1,NULL
1076,165,Chinandega,0,,1,NULL
1078,165,Managua,0,,1,NULL
